hotel_code,hotel_name,address,phone,rating,description,card_price,overview_table_json,pets_json,parking_json,amenities_json,nearby_json,airport_json,is_pet_friendly,last_updated
miawm,,,18882770741,,"Welcome to this hotel in the iconic Art Deco district of South Beach, with Mediterranean-inspired architecture, a unique facade, and arches that frame a charming inner courtyard. It is located near the best entertainment for couples and families looking to explore the city and its beaches, and also close to the Miami Convention Center, making it ideal for those traveling for business who want to combine work and leisure. With 80 rooms decorated by talented local artists, some of which feature a terrace so you can soak in the vibrant atmosphere of the city. Would you like to have a picnic on the beach? The hotel has a reserved area, perfect for enjoying with the kids or for a romantic day.
Read less",,,,"{""parking_info"": ""S\nLOCAL AREA\nOFFERS\nGALLERY\nVIEW PRICES\nIBEROSTAR WAVES MIAMI BEACH\nAmenities\nThe pinnacle of resort living in Miami Beach\nA Refreshing Dip In Miami Beach\nA refreshing dip in Miami Beach\nTake a dip in the pool after an unforgettable day in the heart of Miami Beach, and relax in the sun deck with your favorite drink, surrounded by the best art deco.\nHotel features\nresponsible consumption of seafood\nsingle-use plastic free hotel\n1 on-site restaurant\n1 on-site bar\nwi-fi\nAt this hotel\nHotel details\nParking and transportation\nPool\nView in other languages\nEnglish\nEnglish (GB)\n日本語\nDeutsch\n繁體中文\nEspañol\n中文\nFrançais\nEspañol (España)\nItaliano\nNederlands\nРусский\nPortuguês\n한국어\nไทย\nالعربية\nPortuguês (BR)\nBahasa Indonesia\nTürkçe\nPolski\nTiếng Việt\nHome\nExplore\nUnited States Florida Miami Beach Iberostar Waves Iberostar Waves Miami Beach Amenities\nSOCIAL MEDIA\nCOMPANY\nIHG Careers\nExplore Hotels\nIHG Global Brands\nHotel Development\nTravel Professionals\nAffiliate Programme\nIHG Agent\nChat with us\nIHG Business Rewards\nEmail Management\nIHG Army Hotels\nTravel Advisory\nMember Materials\nIHG Corporate\nMember Terms and Conditions\nAdChoices\nTerms of Use\nPrivacy and Cookie Center\nDo Not Sell or Share My Persona""}","[""responsible consumption of seafood"", ""single-use plastic free hotel"", ""1 on-site restaurant"", ""1 on-site bar"", ""wi-fi""]",,,false,2025-12-24T12:51:21.727783
miass,Kimpton Surfcomber Hotel,"1717 Collins Ave
Miami Beach, Florida 33139, United States",18005467866,4.02,"As part of the candy-colored historic Art Deco District, Kimpton Surfcomber Hotel welcomes you to the sea-and-be-seen revelry of Miami’s South Beach. Famed nightlife, shops, cafes and galleries are a stroll away. But even without leaving the hotel you can soak up the fun with Kimpton Surfcomber’s playful “Daylife.” Think ice cream sundaes by our glorious pool, bocce ball tournaments at a private sandy oasis and beach side food and beverage service on the beach. Some say we’re the most social hotel around. To that we say, SoBe it.
Read less",291 USD,,,"{""parking_info"": ""HFRONT SERVICES\nPOOL + CABANA\nINDOOR K'ALMA SPA CABANA\nBeachfront Services\nThere’s nothing like the lure of alabaster sands and the lull of the Atlantic. Want to stay all day, gazing at the ocean, basking in the sun? We’ll set you up with a plush beach chair, fresh towels, shady umbrella, lunch and cocktails. We can even arrange for a seaside Cafecito Massage. So leave your watch at home and linger.\nLearn more\nEnjoy these perks\nspa\nbeach\n1 outdoor pool\n2 on-site restaurants\npet-friendly\non-site parking\nsmoke-free hotel\ndaily housekeeping\nEverything you need to know\nHotel details\nActivities\nBeach\nFitness center\nParking and transportation\n\n\n\n\nPool\nServices\nSpa\nKimpton Surfcomber Hotel pet policy\nWe invite you to bring your pet no matter their size, weight, or breed, all at no extra charge. If your pet fits through the door, we will welcome them in.\nView pet policy\nView in other languages\nEnglish\nEnglish (GB)\n日本語\nDeutsch\n繁體中文\nEspañol\n中文\nFrançais\nEspañol (España)\nItaliano\nNederlands\nРусский\nPortuguês\n한국어\nไทย\nالعربية\nPortuguês (BR)\nBahasa Indonesia\nTürkçe\nPolski\nTiếng Việt\nHome\nExplore\nUnited States Florida Miami Kimpton Hotels Surfcomber Hotel Amenities\nSOCIAL MEDIA\nQUICK LINKS\nSpecial""}","[""spa"", ""beach"", ""1 outdoor pool"", ""2 on-site restaurants"", ""pet-friendly"", ""on-site parking"", ""smoke-free hotel"", ""daily housekeeping""]",,,true,2025-12-24T12:51:44.093188
miami,Holiday Inn Express & Suites Miami Airport East,"2601 NW 42nd Avenue
Miami, Florida 33142, United States",18884654329,4.15,"Welcome to Holiday Inn Express & Suites Miami Airport East! where modern luxury meets Miami flair!
With our ""Formula Blue"" standard, experience boutique-style accommodation in the heart of the city. Conveniently located near major attractions, universities, and the airport, our smoke-free rooms offer 42"" LED HDTVs, microwaves, and refrigerators. Start your day with our Express Start™ Breakfast Bar, then enjoy free Wi-Fi, local calls, and access to our 24-hour Business Center, Fitness Center, outdoor pool, and hot tub. With 1620 sq ft of meeting space, we have everything you need for a comfortable and productive stay.
Read less",132 USD,,,,"[""kids eat free"", ""airport shuttle"", ""free breakfast"", ""fitness center"", ""on-site parking"", ""pet-friendly"", ""pool"", ""smoke-free hotel"", ""wi-fi""]",,,true,2025-12-24T12:52:26.579155
miaia,,,18884654329,,"Welcome to Holiday Inn Miami-International Airport, the perfect choice for travelers seeking comfort, convenience, and a true taste of Miami. Whether you’re here for business, leisure, or a little of both, our hotel near Miami International Airport makes every step of your journey smoother and brighter.
Arriving is easy with our complimentary 24-hour shuttle service to and from Miami International Airport, running every 30 minutes. Planning a cruise? We also offer scheduled transportation to the Port of Miami for a small fee, making us a favorite Cruise Port Hotel in Miami, Florida. From the moment you check in, you’ll discover thoughtful touches that take the stress out of travel.
Business guests will find themselves near major companies and appreciate amenities like free Wi-Fi, a 24-hour Business Center, and 2,427 square feet of flexible meeting space with skyline views. When it’s time to unwind, enjoy our outdoor pool, stay active in the fitness center, or head to the 9th floor to dine at El Mirador Restaurant or sip cocktails at Vista Lounge.
Our central location puts the best of Miami within easy reach. From the sandy shores of South Beach and the colorful murals of Wynwood to the vibrant streets of Little Havana and the energy of Downtown, unforgettable adventures are just minutes away. At Holiday Inn Miami-International Airport, every stay combines relaxation, convenience, and a welcoming spirit that makes you feel right at home.
Read less",,,,"{""parking_info"": ""he highlights\n24/7 Free Airport Shuttle\nSunshine & Splash\n24/7 Free Airport Shuttle\nFlying into Miami at midnight or heading out before dawn? Our complimentary airport shuttle runs every 30 minutes, 24 hours a day, so you never have to worry about getting to or from the airport. Just minutes from the terminals, Holiday Inn Miami-International Airport delivers a quick, friendly, and reliable ride whenever you need it.\nLearn more\nHotel features\nkids eat free\nairport shuttle\nfitness center\non-site parking\npool\n1 on-site restaurant\nsmoke-free hotel\nwi-fi\nAT THIS HOTEL\nHotel Details\nFitness Center\nGolf\n\n\n\nParking and transportation\n\n\n\n\n\n\nPool\nServices\nHome\nExplore\nUnited States Florida Miami Springs Holiday Inn Holiday Inn Miami-International Airport Amenities\nSOCIAL MEDIA\nCOMPANY\nAbout IHG\nIHG Careers\nIHG Global Brands\nHotel Development\nChat with us\nExplore Hotels\nTerms of Use\nAdChoices\nPrivacy and Cookie Center\nDo Not Sell or Share My Personal Information\nSite Map\nFeedback\nBook online or call:\n1 888 HOLIDAY (1 888 465 4329)\nDownload the IHG One Rewards app\nLearn more about fast booking and Rewards on the go\nTo ensure that we give you the best experience on our website, we use machine ""}","[""kids eat free"", ""airport shuttle"", ""fitness center"", ""on-site parking"", ""pool"", ""1 on-site restaurant"", ""smoke-free hotel"", ""wi-fi""]",,"[""The highlights"", ""24/7 Free Airport Shuttle"", ""Sunshine & Splash"", ""24/7 Free Airport Shuttle"", ""Flying into Miami at midnight or heading out before dawn? Our complimentary airport shuttle runs every 30 minutes, 24 hours a day, so you never have to worry about getting to or from the airport. Just minutes from the terminals, Holiday Inn Miami-International Airport delivers a quick, friendly, and reliable ride whenever you need it."", ""Learn more""]",false,2025-12-24T12:52:37.091995
miavi,Circa 39 Hotel,"3900 Collins Ave
Miami Beach, Florida 33140, United States",8773336517,,"Unpretentious in nature, Circa 39 offers an eclectic and inviting beachside boutique hotel on Collins Avenue, Miami Beach. With vibrant décor and a welcoming atmosphere, we invite you to leave behind the familiar and embrace the best of Miami, from sun-kissed shores to the artistic vibes of Wynwood, the energy of Brickell, and beyond. South Beach's colorful, multicultural charm and Miami's diverse spirit make this the perfect haven for wanderers seeking style, character, and exploration. Guests of the resort have included access to two beach chairs, beach umbrella and towels, one hour bike rental, Wireless internet access (via your laptop or mobile device), and fitness center.
Read less",158 USD,,,"{""parking_info"": ""nvite you to leave behind the familiar and embrace the best of Miami, from sun-kissed shores to the artistic vibes of Wynwood, the energy of Br... Read more\nfitness center\npet-friendly\npool\n2 on-site restaurants\nsmoke-free hotel\nwi-fi\nView all amenities\nAccommodations\nStandard Rooms\nselect dates\nDeluxe Rooms\nselect dates\nStandard Rooms\nselect dates\n1/2\n1/31\nReservations: 877 333 6517\nFront desk: 1-305-5384900\nEmail: frontdesk@circa39.com\n3900 Collins Ave Miami Beach, Florida 33140 United States\nParking and transportation details\nCheck-in: 4:00 PM\nCheck-out: 11:00 AM\nMinimum check-in age: 21\nThe highlights\nWUNDERGARDEN\nWUNDERBAR\nTIKI FISH N BURGERS\nWunderGarden\nWunderGarden is our mid-beach hideaway. Located in the heart of our hotel, this secret garden offers a Bohemian vibe that will instantly make you feel as if you’re a world away. Savor the laid-back atmosphere of rum parties, yoga sessions, and live music in this tropical-themed courtyard. The garden is also available for private social events.\nDiscover Circa 39 Hotel\nElevate your experience\nView amenities\nSip. Savor. Repeat.\nView dining\nSee it to believe it\nView gallery\nLive like a local\nView local area\nHotel packages and pro""}","[""fitness center"", ""pet-friendly"", ""pool"", ""2 on-site restaurants"", ""smoke-free hotel"", ""wi-fi""]",,,true,2025-12-24T12:53:01.296723
miamb,,,18884654329,,"Miami Beach Oceanfront Hotel with Premium Location
Welcome to the tropically inspired Holiday Inn Miami Beach - Oceanfront hotel, where our 1950's Miami Modern (MiMo) exterior blends seamlessly with vibrant contemporary South Beach style to wrap you in modern comfort. Eleven miles east of Miami International Airport (MIA), our Miami Beach oceanfront hotel is located where I-195 meets A1A at the Atlantic Ocean.
Our oceanfront Miami Beach hotel offers you an unparalleled location, right off Collins Avenue and just two miles from South Beach; home of the best clubs, dining, and shopping. With the Miami Beach beachwalk at your doorstep, take a moonlit stroll on the beach by night, play in the surf by day or simply relax by our large pool overlooking the beach and our lush, tropical garden with its hammock oasis. Be sure to grab a mojito and a delicious meal at our Paradise Café and Blue Parrot Bar.
You will appreciate the close proximity of our hotel to the Miami Beach Convention Center and Lincoln Road shopping, just two miles away. Don’t miss the opportunity to take in the art and culture that make Miami Beach such a popular destination. The Art Deco district, Miami Children’s Museum, Holocaust Memorial, Phillip and Patricia Frost Museum of Science, and the Bass Museum of Art are within a short drive of our hotel. Ask about area transportation via the free Miami Beach Trolley.
Read less",,,,"{""parking_info"": ""CES\n1/13\nHOLIDAY INN MIAMI BEACH-OCEANFRONT\nAMENITIES\nThe highlights\nWhere The Beach Is Your Backyard\nWhere the beach is your backyard\nAt our beachfront hotel, the beach isn’t just nearby—it’s your backyard! Roll out of bed and onto the sand, soak up sunrise views, and let the waves set the vibe for your day. From sandy toes to ocean breezes, every moment here feels like a carefree, sun-soaked escape made just for fun.\nHotel features\nkids eat free\nbeach\ndaily housekeeping\nfitness center\non-site parking\npool\nsmoke-free hotel\nwi-fi\nAT THIS HOTEL\nHotel Details\nFitness Center\nGolf\n\n\nParking and transportation\n\n\n\n\nPool\nServices\nHome\nExplore\nUnited States Florida Miami Beach Holiday Inn Holiday Inn Miami Beach-Oceanfront Amenities\nSOCIAL MEDIA\nCOMPANY\nAbout IHG\nIHG Careers\nIHG Global Brands\nHotel Development\nChat with us\nExplore Hotels\nTerms of Use\nAdChoices\nPrivacy and Cookie Center\nDo Not Sell or Share My Personal Information\nSite Map\nFeedback\nBook online or call:\n1 888 HOLIDAY (1 888 465 4329)\nDownload the IHG One Rewards app\nLearn more about fast booking and Rewards on the go\nTo ensure that we give you the best experience on our website, we use machine translation for portions of the""}","[""kids eat free"", ""beach"", ""daily housekeeping"", ""fitness center"", ""on-site parking"", ""pool"", ""smoke-free hotel"", ""wi-fi""]","[""The highlights"", ""Where The Beach Is Your Backyard"", ""Where the beach is your backyard"", ""At our beachfront hotel, the beach isn’t just nearby—it’s your backyard! Roll out of bed and onto the sand, soak up sunrise views, and let the waves set the vibe for your day. From sandy toes to ocean breezes, every moment here feels like a carefree, sun-soaked escape made just for fun.""]",,false,2025-12-24T12:54:24.781945
vgccw,Candlewood Suites Miami Intl Airport - 36th St,"5911 NW 36th Street
Miami, Florida 33166, United States",18772263539,4.62,"Introducing Candlewood Suites Miami International Airport 36th Street—a haven of comfort and convenience near Miami International Airport. With 130 fully equipped studios featuring kitchens, our hotel offers the perfect blend of functionality and relaxation. Conveniently located just 8 minutes from the airport, we provide complimentary shuttle service to and from Miami International Airport for seamless travel. And with the vibrant City of Doral a mere 9 minutes away, guests have easy access to dining, shopping, and entertainment options. Whether you're here for business or leisure, our hotel has you covered. Enjoy complimentary Wi-Fi, spacious workstations, and a 24-hour gym to stay connected and fit during your stay. Plus, unwind by the outdoor pool or take advantage of free parking and laundry facilities for added convenience. With major expressways like 826 and 112 nearby, exploring Downtown Miami and Miami Beach is a breeze. From catching a game at Hard Rock Stadium to experiencing the vibrant nightlife, there's something for everyone to enjoy. Welcome to your home away from home at Candlewood Suites Miami International Airport 36th Street—where comfort meets convenience in the heart of Miami.
Read less",111 USD,,,,"[""airport shuttle"", ""limited housekeeping"", ""fitness center"", ""full kitchen"", ""on-site parking"", ""pet-friendly"", ""pool"", ""smoke-free hotel"", ""wi-fi""]",,,true,2025-12-24T12:54:48.280237
miami,Holiday Inn Express Miami Airport-Blue Lagoon Area,"6750 NW 7th Street
Miami, Florida 33126, United States",18884654329,4.47,"A brand-new hotel located 15 minutes from everywhere you want to be! Our central location at the southeast corner of the Dolphin and Palmetto Expressway and 826 and 836 Freeways puts you just minutes from Coral Gables, Coconut Grove and downtown Miami. It’s also an easy drive to the University of Miami, Doral Country Club, American Airlines Arena and several nearby beaches, as well as shopping at the nearby Miami International Mall, Mall of the Americas and Dolphin Mall.
At our hotel, waterfront views are just steps from your room as the outdoor patio and pool overlook Lake Mahar. Our state of the art fitness center provides everything you need to stay healthy on the road. When you’re ready to recharge, retreat to your spacious guest room with a living room that can be used as a separate workspace area.
Read less",142 USD,,,,"[""airport shuttle"", ""free breakfast"", ""daily housekeeping"", ""fitness center"", ""on-site parking"", ""pet-friendly"", ""pool"", ""smoke-free hotel"", ""wi-fi""]",,,true,2025-12-24T12:54:59.249990
miami,,,18884654329,,"At the Holiday Inn Express Miami Airport Doral Area hotel you'll find the comfort and convenience you need, located in the great city of Doral, well known for shopping and golf. The central location makes it convenient for leisure and business travelers to interact with both attractions and businesses in Miami.
For business travelers our hotel offers 24-hour business center and free Wi-Fi throughout the hotel, making it easy for you to catch up on work. Leisure guests can experience the magic of our coast by catching some sun at South Beach or by taking a moonlit walk on Miami Beach. You can attend an exciting Miami Marlins Baseball game at Marlins Park, Dolphin Mall, and University of Miami or Dolphins football games at Hard Rock Stadium.
Just 14 miles from downtown Miami, Port of Miami and Amtrak, we are situated off the Florida Turnpike, I-95, I-75, 836-Dolphin Expressway and 826-Palmetto Expressway. Start your extraordinary day off by stopping by our Express Start breakfast bar. “Stay Smart” when you stay with us!
Read less",,,,,"[""kids eat free"", ""airport shuttle"", ""free breakfast"", ""daily housekeeping"", ""fitness center"", ""on-site parking"", ""pool"", ""smoke-free hotel"", ""wi-fi""]",,,false,2025-12-24T12:55:10.415912
doral,,,18884246835,,"Experience refined luxury at InterContinental at Doral Miami, where sophisticated accommodations meet the vibrant energy of South Florida. Just minutes from Miami International Airport, downtown Doral, and premier shopping destinations like Dolphin Mall, Brickell Miami, Wynwood, Miami Beach, and CityPlace, our hotel is your gateway to a seamless stay. Indulge in the bold flavors of Latin fusion cuisine at Blue Matisse or unwind with handcrafted cocktails at Nau Lounge.
Read less",,,,,"[""fitness center"", ""on-site parking"", ""pool"", ""1 on-site restaurant"", ""smoke-free hotel"", ""area shuttle""]",,,false,2025-12-24T12:55:20.436282
miami,Staybridge Suites Miami Doral Area,"3265 N.W. 87th Avenue
Miami, Florida 33172, United States",18772388889,3.96,"Situated in a beautiful suburban setting, the Staybridge Suites® Miami Doral is just minutes from Miami International Airport, making the hotel a perfect choice for business & leisure travelers. We offer a “feels like home” experience with spacious suites & fully equipped kitchens to make your home-cooked meals.
Unpack & settle in with great amenities including free Wi-Fi access & Business Center. Our comfortable, modern boardroom seats up to 10 people. When it's time to relax, this Miami hotel is surrounded by the city's best attractions. Trump National Golf Resort, home to the legendary TPC Blue Monster, is just a few blocks away. For the more adventurous, don't miss a chance to explore the beautiful Everglades National Park. A short drive to the icon of Miami-South Beach and Ocean Drive.
We offer a warm, social and home-like environment as your home away from home. We will see you for our free hot breakfast buffet each morning and free Social Reception featuring light dinner and drinks every Monday, Tuesday & Wednesday. Catch a Heat game at Kaseya Center, a Panthers game in Sunrise, or just beat the heat in our outdoor pool! Call today and let us exceed your expectations.
Read Less",151 USD,,,,"[""Parking"", ""Pet Friendly"", ""Pool"", ""Fitness Center"", ""Wi-Fi Included"", ""Meeting Facilities""]",,,true,2025-12-24T12:55:32.956963
miahg,Holiday Inn Miami West - Airport Area,"7707 N.W. 103rd Street
Hialeah Gardens, Florida 33016, United States",18884654329,3.57,"Holiday Inn Miami West - Airport Area. Only 9 miles from Miami International Airport (MIA) and offers free airport transportation.
Whether your journey is for business or leisure, our elegantly designed, 100% smoke-free hotel is conveniently situated just 30 minutes from downtown Miami and Fort Lauderdale, with easy access to various renowned attractions. The world-famous South Beach, Marlins Park (home to the Marlins), and Hard Rock Stadium (home to the Miami Dolphins) are all just a short drive from our location.
Our outdoor oasis is ideal for unwinding by the pool and basking in the inviting Florida sunshine. Whether savoring a morning cup of coffee or indulging in a late afternoon or early evening cocktail after a bustling day, it's perfect either way.
Experience a blend of style and comfort at the Holiday Inn Miami West. Enjoy a range of on-site amenities, including Bistro 103, an outdoor pool, catering and event services, car rental, and a gift shop. Indulge in the delightful a la carte menu at Bistro 103, featuring a daily dinner service with a variety of entrees, creative burgers and sandwiches, salads, and daily specials.
Read less",110 USD,,,"{""parking_info"": ""\nAMENITIES\nThe highlights\nOutdoor Pool\nPets Are Welcome!\nOutdoor Pool\nTake a refreshing dip in our sparkling outdoor pool—your perfect escape under the Miami sun! Surrounded by palm trees and comfy lounge chairs, it’s a great spot to relax, catch some rays, or unwind after a busy day. Whether you're here to swim or just soak up the tropical vibes, the poolside is always a guest favorite.\nCall +1-305-8251000\nHotel features\nkids eat free\nairport shuttle\nlimited housekeeping\nfitness center\non-site parking\npet-friendly\npool\n1 on-site restaurant\nsmoke-free hotel\nwi-fi\nAT THIS HOTEL\nHotel Details\nFitness Center\nGolf\n\n\n\nParking and transportation\n\n\n\n\nPool\nServices\nHome\nExplore\nUnited States Florida Hialeah Gardens Holiday Inn Holiday Inn Miami West - Airport Area Amenities\nSOCIAL MEDIA\nCOMPANY\nAbout IHG\nIHG Careers\nIHG Global Brands\nHotel Development\nChat with us\nExplore Hotels\nTerms of Use\nAdChoices\nPrivacy and Cookie Center\nDo Not Sell or Share My Personal Information\nSite Map\nFeedback\nBook online or call:\n1 888 HOLIDAY (1 888 465 4329)\nDownload the IHG One Rewards app\nLearn more about fast booking and Rewards on the go\nTo ensure that we give you the best experience on our website, we u""}","[""kids eat free"", ""airport shuttle"", ""limited housekeeping"", ""fitness center"", ""on-site parking"", ""pet-friendly"", ""pool"", ""1 on-site restaurant"", ""smoke-free hotel""]",,"[""Skip To main content"", ""1 888 HOLIDAY (1 888 465 4329)"", ""Chat with us"", ""English"", ""My stays"", ""Join for free Sign in"", ""Offers"", ""Rooms"", ""Amenities"", ""Dining"", ""Local Area"", ""Groups & Events"", ""Photos"", ""VIEW PRICES"", ""1/9"", ""HOLIDAY INN MIAMI WEST - AIRPORT AREA"", ""AMENITIES"", ""The highlights"", ""Outdoor Pool"", ""Pets Are Welcome!"", ""Outdoor Pool"", ""Take a refreshing dip in our sparkling outdoor pool—your perfect escape under the Miami sun! Surrounded by palm trees and comfy lounge chairs, it’s a great spot to relax, catch some rays, or unwind after a busy day. Whether you're here to swim or just soak up the tropical vibes, the poolside is always a guest favorite."", ""Call +1-305-8251000"", ""Hotel features"", ""kids eat free"", ""airport shuttle"", ""limited housekeeping"", ""fitness center"", ""on-site parking"", ""pet-friendly"", ""pool"", ""1 on-site restaurant"", ""smoke-free hotel"", ""wi-fi"", ""AT THIS HOTEL"", ""Hotel Details"", ""Fitness Center"", ""Golf"", ""Parking and transportation"", ""Pool"", ""Services"", ""Home"", ""Explore"", ""United St""]",true,2025-12-24T12:56:21.351021
miami,Candlewood Suites Miami - Doral,"10505 NW 36th St.
Miami, Florida 33178, United States",18772263539,3.06,"Discover your perfect getaway at our brand new Candlewood Suites, strategically located near everything that makes Miami special. Whether you're here for business or leisure, our prime location ensures you're just moments away from top attractions, shopping, dining, and vibrant nightlife. Indulge in modern comfort and exceptional service as you unwind in our thoughtfully designed rooms and suites. With amenities tailored to exceed your expectations, we're dedicated to making your stay memorable.
Read less",132 USD,,,,"[""limited housekeeping"", ""fitness center"", ""full kitchen"", ""on-site parking"", ""pet-friendly"", ""pool"", ""smoke-free hotel"", ""wi-fi"", ""market""]",,,true,2025-12-24T12:56:56.278924
miasw,EVEN Hotel Miami - Doral Area,"10770 NW 25th Street
Sweetwater, Florida 33172, United States",18558793836,4.43,"Steps from Dolphin Mall and a short drive from downtown Miami and Miami International Airport, EVEN Hotel Miami – Doral Area offers seamless access to the best of the city while embracing a wellness-focused stay, with modern amenities designed to keep you refreshed, energized, and balanced.
Explore vibrant local attractions like CityPlace Doral, downtown Doral, Florida International University, and Miami International Mall. Visit Wynwood Art District and see a show at Adrienne Arsht Center for Performing Arts. Watch a soccer match at Inter Miami CF and explore the upcoming Miami Freedom Park, a 25,000-seat soccer stadium scheduled to open early 2026. Soak up the sun on South Beach, experience the hottest clubs in downtown Miami, or catch a game at Hard Rock Stadium. Business travelers appreciate proximity to corporations like Burger King HQ, U.S. Southern Command, airline training facilities, and cruise lines for Carnival, Holland America, Norwegian, and MSC.
Keep up your routine in our fully equipped Athletic Studio, take a dip in our outdoor pool, and savor nourishing meals at EVEN® Kitchen & Bar. Enjoy access to meeting rooms and workspaces, plus, free Wi-Fi and convenient onsite parking. After a productive day, retreat to our modern guest rooms designed for ultimate relaxation. Whether you're here for business or leisure, we provide everything you need for a comfortable stay in Miami.
Read less",142 USD,,,"{""parking_info"": ""y of beverages, freshly prepared food, snacks, and satisfying sweet treats. Looking for a pick-me-up? Freshly brewed bean-to-cup coffee and specialty espresso beverages are available for purchase whenever you need it.\nCappuccino Machines\nIndulge in expertly crafted coffee from our deluxe cappuccino machines, serving premium blends from Julius Meinl. Each cup delivers a smooth, rich flavor, blending timeless tradition with modern sophistication in every sip.\nHotel features\nfitness center\non-site parking\npet-friendly\npool\n1 on-site restaurant\nsmoke-free hotel\nwi-fi\nAt this hotel\nHotel details\nFitness center\nGolf\n\n\n\nParking and transportation\n\n\nPool\nServices\nEVEN Hotel Miami - Doral Area pet policy\nA pet fee of 75 USD applies for stays 1 to 6 nights, and 125 USD for 7 nights or more, plus tax. Maximum 2 dogs per room, with a combined weight limit of 50 lbs. We welcome your furry friends to enjoy their stay with you.\nView in other languages\nEnglish\nEnglish (GB)\n日本語\nDeutsch\n繁體中文\nEspañol\n中文\nFrançais\nEspañol (España)\nItaliano\nNederlands\nРусский\nPortuguês\n한국어\nไทย\nالعربية\nPortuguês (BR)\nBahasa Indonesia\nTürkçe\nPolski\nTiếng Việt\nHome\nExplore\nUnited States Florida Sweetwater Even Even Hotels ""}","[""fitness center"", ""on-site parking"", ""pet-friendly"", ""pool"", ""1 on-site restaurant"", ""smoke-free hotel"", ""wi-fi""]",,,true,2025-12-24T12:57:06.719913
miaml,,,18884654329,,"Hialeah Hotel's Guests Enjoy Sun and Satisfaction
Whether you're working or indulging in a shopping spree at the many nearby world-class shopping destinations, you can enjoy the best of the Miami metro area when you stay at the Holiday Inn Express® Hotel & Suites Miami - Hialeah. This hotel's prime location is eight miles from Miami International Airport and 15 miles from downtown Miami.
If you're visiting for business in Hialeah, the hotel offers free high-speed, wireless Internet access and a 24-hour Business Center to help you keep in touch with colleagues. The Miami Lakes Business District and Medley factories are nearby, and Miami International Airport (MIA) and Opa-Locka Executive Airport (OPF) are within six to eight miles, making long-distance travel a breeze.
The hotel's location in the Miami area provides access to top attractions. Football fans are thrilled by the hotel's proximity to the Hard Rock Stadium, only eight miles away, making our hotel a great choice for visitors in town for the Orange Bowl Game. You can also attend fantastic world-class events, including mesmerizing concerts and sporting events, at the FTX Arena.
After a busy day, you can enjoy an energizing workout in a 24-hour Fitness Center, go for a swim in a beautiful outdoor pool or simply unwind on the peaceful patio. When you stay with us in Hialeah, hotel perks like a free, hot breakfast get each day off to a flawless start!
Read less",,,,,"[""free breakfast"", ""limited housekeeping"", ""fitness center"", ""on-site parking"", ""pool"", ""smoke-free hotel"", ""wi-fi""]",,,false,2025-12-24T12:57:39.862706
mialk,Candlewood Suites Miami Lakes,"8079 NW 154th Street
Miami Lakes, Florida 33016, United States",18772263539,2.89,Pet Policy Agreement must be signed at check in with vaccination records available upon request. Maximum 2 pets per room and under 50 pounds. Non refundable pet cleaning fee. Additional fees may apply if excessive cleaning or repair is needed.,104 USD,,,,"[""limited housekeeping"", ""fitness center"", ""full kitchen"", ""on-site parking"", ""pet-friendly"", ""pool"", ""smoke-free hotel"", ""wi-fi"", ""market""]",,,true,2025-12-24T12:57:51.321406
miami,Candlewood Suites Miami Exec Airport - Kendall,"13600 S.W. 139 Court
Miami, Florida 33186, United States",18772263539,4.40,"Welcome to the Candlewood Suites Hotel Miami Executive Airport - Kendall. You can enjoy the most modern and convenient extended stay hotel in Kendall. Business travelers and adventure seekers looking for the perfect home away from home, look no further for short term or extended stays in our hotel suites. Our hotel is right next to the Miami Executive Airport, 20 miles away from Miami International Airport (MIA) and 34 miles from Hard Rock Stadium (World Cup 2026). With world class shopping centers including London Square, The Palms at Town & Country, Dolphin Mall and Dadeland Mall. Also conveniently located just minutes away from Miami Dade College, Baptist Hospital, Zoo Miami, Gold Coast Railroad Museum, Wings Over Miami Museum, Kendall Ice Arena, Monkey Jungle, Jungle Island, Black Point Marina, Homestead Miami Speedway, Everglades National Park, Vizcaya Museum and Gardens, and downtown Miami just a short drive away.
Our spacious suites with fully-equipped kitchens, complimentary guest laundry, complimentary parking, 24-hour gazebo and barbecue area, outdoor pool, Fitness Center and signature amenities will make for a perfect stay. Stress free weekly housekeeping services will make for a more relaxing stay. Free high-speed Internet access, and large workspaces with a desk chair, and recliner give you all the comforts you need to stay relaxed.
The hotel has a large-scale generator to operate all the areas of the hotel during power outages.
Read less",270 USD,,,,"[""limited housekeeping"", ""fitness center"", ""full kitchen"", ""on-site parking"", ""pet-friendly"", ""pool"", ""smoke-free hotel"", ""wi-fi"", ""market""]",,,true,2025-12-24T12:58:23.051915
